"BookName","Edition","ISBN13","ISBN10","Author1","Description"
"ACCOUNTING:TOOLS...(LL)-W/LMS ACCESS","6th Edition","9781119288145","1119288142","Kimmel","Starting with the big picture of financial statements first, Paul Kimmel shows students why financial accounting is important to their everyday lives, business majors, and future careers. Kimmel, Accounting is designed for a two-semester financial and managerial accounting sequence that dedicates equal time financial and managerial accounting topics and teaches the accounting cycle from a corporate perspective."
"MML ACCESS CODE FOR MATH 0010/1010","Edition","9781323149607","1323149600","Pearson",
"Accounting I, AC 200: Fundamental Financial Accounting Concepts, Special Edition for The University of Alabama Birmingham School of Business","9th Edition","9781308437576","1308437579","Edmonds, NcNair, Olds","Accounting I, AC 200: Fundamental Financial Accounting Concepts, Special Edition for The University of Alabama Birmingham School of Business."
"Intermediate Accounting","9th Edition","9781259722660","125972266X","J. David Spiceland, Mark W. Nelson, Wayne M Thomas","Intermediate Accounting is quickly becoming the most popular resource in its field due to its rigorous yet readable approach to coursework and the coherent, consistent voice of the author team.  The Spiceland team is committed to providing current, comprehensive, and clear coverage of intermediate accounting, and the ninth edition continues to leverage Connect as the premier digital teaching and learning tool on the market.

Spiceland excels in fully preparing students for the CPA exam and their future careers through the material?s highly acclaimed conversational writing style, carefully tuned pedagogy, and wealth of online tools. Spiceland helps students develop a better understanding of both theoretical and practical concepts, guiding them to a more complete mastery of accounting principles."
"MANAGERIAL ACCOUNTING"," Edition","9781260297942","1260297942","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organisations - plan operations, control activities, and make decisions - and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison's Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor's manual, and study guide making them both of high quality and extremely consistent with the textbook."
"ACCOUNTING-CENGAGENOWV2 ACCESS(12 MON.)","26th Edition","9781305113480","1305113489","WARREN","Never opened from publisher"
"MANAGERIAL ACCT.W/ACCESS(MSU)","15th Edition","9781269917360","1269917366","Braun",
"ACC 405/605 CUSTOM >IC<","16th Edition","9781307242577","130724257X","Garrison",
"Managerial Accounting ACCT 208","14th Edition","9781308241623","1308241623","University of Delaware Depart. of Accounting","special Edition Managerial Accounting 4 edition book for Chabot College Students taking Business
   1B Managerial Accounting. This book does NOT come with the Connect Access Code for students taking the course online. NO ACCESS CODE."
"CONNECT ACCESS F/ FIN+MAN ACC.>CUSTOM<","7th Edition","9781260783636","1260783634","Wild",
"USING+UNDERSTAND MATH W/MATHLABPLUS >I","15th Edition","9781269927116","1269927116","Bennett",
"MANAGERIAL ACCOUNTING <CUSTOM>","16th Edition","9781307054774","1307054773","Garrison",
"Accounting, Binder Ready Version: Tools for Business Decision Making - Standalone book","6th Edition","9781119191674","111919167X","Paul D. Kimmel, Jerry J. Weygandt, Donald E. Kieso","This text is an unbound, three hole punched version. Access to WileyPLUS sold separately. Starting with the big picture of financial statements first, Paul Kimmel shows students why financial accounting is important to their everyday lives, and future careers. Kimmel, Accounting is designed for a two-semester financial and managerial accounting sequence that dedicates equal time financial and managerial accounting topics and teaches the accounting cycle from a corporate perspective."
"INTERMEDIATE ACCOUNTING LL W/CONNECT","9th Edition","9781260271768","1260271765","SPICELAND","Nice clean copy. Minimal signs of wear. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, and may not include CD-ROM or access codes. 100% Customer Satisfaction Guaranteed!"
"ACC 201/202 INT.ACCOUNTING-W/CODE CUST","9th Edition","9781307014945","1307014941","SPICELAND","Financial accounting is undergoing a period of unprecedented change. The FASB and IASB have been working together to issue converged accounting standards that will dramatically change key reporting areas, and more generally have sought to converge accounting standards over time. However, at present the convergence process appears to have stalled with respect to new standards, and it is not clear when, if ever, IFRS will be fully incorporated into U.S. GAAP. So, while there is considerable overlap between U.S. GAAP and IFRS, important differences between U.S. GAAP and IFRS will remain for the foreseeable future."
"Bundle: Accounting 6e Binder Ready Version + WileyPLUS Access Code","6th Edition","9781119221951","1119221951","Paul D. Kimmel","This package includes a three-hole punched, loose-leaf edition of ISBN 9781119191674 and a registration code for the WileyPLUS course associated with the text. Before you purchase, check with your instructor or review your course syllabus to ensure that your instructor requires WileyPLUS. For customer technical support, please visit http://www.wileyplus.com/support.  WileyPLUS registration cards are only included with new products. Used and rental products may not include WileyPLUS registration cards. Starting with the big picture of financial statements first, Paul Kimmel?s Accounting: Tools for Business Decision Making, Binder Ready Version, 6th Edition shows students why financial accounting is important to their everyday lives, business majors, and future careers. 

Kimmel, Accounting is designed for a two-semester financial and managerial accounting sequence that dedicates equal time financial and managerial accounting topics and teaches the accounting cycle from a corporate perspective."
"Connect Access Card for Fundamentals of Advanced Accounting","7th Edition","9781260048827","1260048829","Joe Ben Hoyle, Thomas Schaefer, Timothy Doupnik","McGraw-Hill Connect? is a subscription-based learning service accessible online through your personal computer or tablet. Choose this option if your instructor will require Connect to be used in the course. Your subscription to Connect includes the following:

? SmartBook? - an adaptive digital version of the course textbook that personalizes your reading experience based on how well you are learning the content.
? Access to your instructor?s homework assignments, quizzes, syllabus, notes, reminders, and other important files for the course.
? Progress dashboards that quickly show how you are performing on your assignments and tips for improvement.
? The option to purchase (for a small fee) a print version of the book. This binder-ready, loose-leaf version includes free shipping.

Complete system requirements to use Connect can be found here: http://www.mheducation.com/highered/platforms/connect/training-support-students.html"
"ACCOUNTING PRINCIPLES 122 5/16 >C<"," Edition","9781323461471","1323461477","Horngren",
"GEN COMBO LOOSELEAF FINANCIAL ACCOUNTING FUNDAMENTALS; CONNECT ACCESS CARD","6th Edition","9781260149166","1260149161","John J Wild, Ken Shaw Accounting Professor","McGraw-Hill Connect? is a subscription-based learning service accessible online through your personal computer or tablet. Choose this option if your instructor will require Connect to be used in the course. Your subscription to Connect includes the following:

? SmartBook? - an adaptive digital version of the course textbook that personalizes your reading experience based on how well you are learning the content.
? Access to your instructor?s homework assignments, quizzes, syllabus, notes, reminders, and other important files for the course.
? Progress dashboards that quickly show how you are performing on your assignments and tips for improvement.
? The option to purchase (for a small fee) a print version of the book. This binder-ready, loose-leaf version includes free shipping."
"INTERMEDIATE ACCT.-ACCESS >CUSTOM<","16th Edition","9781119327554","1119327555","Kieso",
"Custom Bundle: Accounting, Loose-leaf Version, 26th + Working Papers, Chapters 1-17, 26th Edition","26th Edition","9781305714731","1305714733","Warren/Reeve/Duchac","Bundle includes: Accounting, Loose-leaf Version, 26th Edition Loose Leaf Working Papers, Chapters 1-17 for Warren/Reeve/Duchac's Accounting, 26th and Financial Accounting, 14th, 26th Edition Bound Book You'll find the tools you need to help work through end-of-chapter assignments with these working papers. The preformatted files provide a starting point by giving you a basic structure for journal entries and problems."
"MANGERIAL ACC.(LOOSE)W/CONNECT CUST.>IC","16th Edition","9781260636864","1260636860","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organisations - plan operations, control activities, and make decisions - and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison's Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor's manual, and study guide making them both of high quality and extremely consistent with the textbook."
"ALL ACCESS PACK for Financial Accounting: Tools for Business Decision Making 8th Edition","8th Edition","9781118953884","1118953886","Jerry J. Weygandt,  Donald E. Kieso Paul D. Kimmel",
"INTERMEDIATE ACCOUNTING II (LL)>CUSTOM<","16th Edition","9781119316701","1119316707","Kieso",
"MANAGERIAL ACCT.(LL)-W/ACCESS >CUSTOM<","16th Edition","9781260188516","1260188515","Garrison",
"CALC.F/BUS.,-(LL)-W/MYLAB MATH+-W/ETEXT","14th Edition","9780135379608","135379601","Barnett",
"Financial Accounting, Student Value Edition (12th Edition)","12th Edition","9780134727066","134727061","C. William Thomas, Wendy M. Tietz, Walter T. Harrison Jr.","NOTE: This edition features the same content as the traditional text in a convenient, three-hole-punched, loose-leaf version. Student Value Editions also offer a great value; this format costs significantly less than a new textbook. Before purchasing, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. For Student Value Editions that include MyLab(TM) or Mastering(TM), several versions may exist for each title -- including customized versions for individual schools -- and registrations are not transferable. In addition, you may need a Course ID, provided by your instructor, to register for and use MyLab or Mastering platforms. 
For courses in introductory financial accounting. A student-centered approach to financial accounting Accounting is the language of business, and understanding the role accounting plays in business is critical to a student's success in earning a business degree. Financial Accounting puts the focus on the purpose of Accounting in business. With student-friendly examples and streamlined chapters, the 12th Edition delivers a student-centric approach to learning financial accounting. Time-tested resources like the Turnkey Case Resources, help students grasp the practical concepts of accounting, so that they can put them into practice in their future business careers."
"FINANCIAL+MANAGERIAL ACCT.-ACCESS","14th Edition","9781337699990","1337699993","WARREN","Give your students a solid foundation in core accounting concepts while helping learners develop a true appreciation for why accounting is important to business and a prosperous society. Warren/Reeve/Duchac?s FINANCIAL AND MANAGERIAL ACCOUNTING, 14E clearly demonstrates how accounting is much more than simply data and black and white rules. Instead, students see how accounting provides key information used to make critical business decisions. A new chapter schema provides context for how each chapter?s content fits into the big picture. The book focuses on why accounting is important and consistently reinforces connections to the big picture by connecting journal entries to the accounting equation. Fresh organization progresses from the simplest to the more complex topics with reorganized and fully integrated coverage of the new Revenue Recognition standard, reorganized coverage of adjustments, and reorganized managerial accounting chapters"
"Principles of Accounting II","15th Edition","9781308472195","1308472196","UNC Charlotte Accounting",
"ACCT.PRINCIPLES-ACCESS","12th Edition","9781118970058","1118970055","Weygandt","Accounting Principles 12th Edition by Weygandt, Kimmel, and Kieso provides students with a clear introduction to fundamental accounting concepts. The Twelfth Edition helps student get the most out of their accounting course by making practice simple. This text allows for new opportunities for self-guided practice allow students to check their knowledge of accounting concepts, skills, and problem-solving techniques and receive personalized feedback at the question, learning objective, and course level. Newly streamlined learning objectives help students use their study time efficiently by creating a clear connections between the reading and video content, and the practice, homework, and assessments  questions. Weygandt, Accounting Principles is a best-selling  program ideal for a two-semester Principles of Accounting sequence  where students spend the majority of the time learning financial  accounting concepts, and are introduced to the basic concepts of  managerial accounting at the end of the sequence  With  Accounting Principles students learn the accounting cycle from a  sole proprietor perspective."
"Fundamental Accounting Principles","23rd Edition","9781259536359","1259536351","John J Wild, Ken Shaw Accounting Professor, Barbara Chiappetta Fundamental Accounting Principles","For more than six decades, Fundamental Accounting Principles has helped introductory accounting students succeed. With its step-by-step approach, FAP streamlines complex accounting processes and helps students build confidence by mastering key concepts and procedures. Chapter opening vignettes using dynamic entrepreneurs appeal to all students and show the relevance of accounting. Students are encouraged to think like a businessperson and apply what they learn. A wide variety of assignments provide instructors with materials to teach, assess, and challenge students on several levels. Join your colleagues and the millions of students that have used this best-selling learning system to advance their education and careers."
"FINANCIAL+MANAG.ACCT.(LOOSELEAF)"," Edition","9781260718089","1260718085","Wild",
"INTERMEDIATE ACCT.(LL)-W/CODE >CUSTOM<","9th Edition","9781260248746","1260248747","SPICELAND","Nice clean copy. Minimal signs of wear. Used books may not include companion materials, some shelf wear, may contain highlighting/notes, and may not include CD-ROM or access codes. 100% Customer Satisfaction Guaranteed!"
"Intermediate Accounting, 16th Edition + WileyPLUS Registration Card","16th Edition","9781119231530","1119231531","Donald E. Kieso","This package includes a copy of ISBN 9781118743201 and a registration code for the WileyPLUS course associated with the text. Before you purchase, check with your instructor or review your course syllabus to ensure that your instructor requires WileyPLUS. 

For customer technical support, please visit http://www.wileyplus.com/support.  WileyPLUS registration cards are only included with new products. Used and rental products may not include WileyPLUS registration cards.

Kieso, Weygandt, and Warfield's Intermediate Accounting, 16th Edition continues to set the standard for students and professionals in the field. Kieso maintains the qualities for which the text is globally recognized, including its reputation for accuracy, comprehensiveness, accessibility, and quality problem material that best prepares students for success on the CPA exam and accounting careers. The 16th edition offers the most up-to-date coverage of US GAAP & IFRS in a presentational format suited to the complex challenges of teaching intermediate accounting in these changing times."
"INTERMEDIATE ACCT GEN CMB LL; CNCT 9 20","9th Edition","9781260536003","1260536009","SPICELAND",
"FUND OF FIN ACCTG W/ CONNECT (LL) >BI<","16th Edition","9781260024500","1260024504","PHILLIPS",
"Connect Access Card for Financial and Managerial Accounting","7th Edition","9781260004823","1260004821","John J Wild, Ken W. Shaw","McGraw-Hill Connect(R) is a subscription-based learning service accessible online through your personal computer or tablet. Choose this option if your instructor will require Connect to be used in the course. Your subscription to Connect includes the following: - SmartBook(R) - an adaptive digital version of the course textbook that personalizes your reading experience based on how well you are learning the content.
- Access to your instructor's homework assignments, quizzes, syllabus, notes, reminders, and other important files for the course.
- Progress dashboards that quickly show how you are performing on your assignments and tips for improvement.
- The option to purchase (for a small fee) a print version of the book. This binder-ready, loose-leaf version includes free shipping."
"MANAGERIAL ACCOUNTING (LOOSE)-W/CONNECT","16th Edition","9781260379150","1260379159","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organisations - plan operations, control activities, and make decisions - and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison's Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor's manual, and study guide making them both of high quality and extremely consistent with the textbook."
"Managerial Accounting 16th Edition Acc3200","16th Edition","9781260247749","1260247740","Ray H. Garrison",
"INTERMEDIATE ACCOUNTING-W/MYACCOUNTING.","2nd Edition","9780134833101","134833104","GORDON","NOTE: Before purchasing, check with your instructor to ensure you select the correct ISBN. Several versions of the MyLab?and Mastering? platforms exist for each title, and registrations are not transferable. To register for and use MyLab or Mastering, you may also need a Course ID, which your instructor will provide.

 

Used books, rentals, and purchases made outside of Pearson

If purchasing or renting from companies other than Pearson, the access codes for the MyLab platform may not be included, may be incorrect, or may be previously redeemed. Check with the seller before completing your purchase.


For courses in intermediate accounting.

This package includes MyLab Accounting.


Help students think like accountants -- from the first day of class through their careers

Thinking like an accountant isn?t just rote memorization of accounting rules. Rather, it?s developing the judgment and decision-making skills needed to form accounting estimates and evaluate financial statements critically. With its focus on conceptual framework fundamentals and critical thinking, Gordon, Raedy, and Sannella?s Intermediate Accounting, 2nd Edition gives readers the opportunity to develop problem-solving skills, apply their judgment, and work with real company financials. After mastering these essential skills, students will be ready to pass the CPA exam, and able to think like accountants.

 

Personalize learning with MyLab  Accounting  

By combining trusted authors? content with digital tools and a flexible platform, MyLab personalizes the learning experience and improves results for each student."
"INTERMEDIATE ACCOUNTING W/WILEYPLUS >I","2nd Edition","9781119062134","1119062136","Kieso",
"FINANCIAL+MANAG.ACCT.(LOOSE)-W/ACCESS","6th Edition","9781259909580","1259909581","Wild",
"GEN COMBO LOOSELEAF FUNDAMENTAL ACCOUNTING PRINCIPLES; CONNECT ACCESS CARD","23rd Edition","9781260077643","1260077640","John J Wild","Item may not include associated media. Used books may have cover wear and markings inside. Access codes and supplements such as CDs or software are not guaranteed with used items. Bookseller Inventory # bb1-162a"
"Financial Accounting, Student Value Edition (11th Edition)","11th Edition","9780134065830","134065832","Walter T. Harrison Jr., Charles T. Horngren, C. William Thomas, Wendy M Tietz","ALERT: Before you purchase, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition, you may need a CourseID, provided by your instructor, to register for and use Pearson's MyLab & Mastering products. Note: This is the loose leaf edition of Financial Accounting, Student Value Edition. A User-Focused Approach and Solid Foundation in the Construction and Analysis of Financial Statements for Use in Future Careers Financial Accounting Student Value Edition gives readers a solid foundation in the fundamentals of accounting and the basics of Financial Statements, and then builds upon that foundation to offer more advanced/challenging concepts and problems. 

This scaffolded approach helps readers to better understand the meaning and relevance of financial information, see its relevance within a real-world context, as well as develop the skills needed to analyze financial information in their career. While maintaining hallmark features of accuracy, readability, ease of understanding, and a wealth of accessible algorithmic problems, the Eleventh Edition includes updated explanations, coverage, and ratio analysis with decision-making guidelines. These latest methodologies and technology ensure that readers learn basic concepts in accounting in a way that is relevant, stimulating, and fun, while exercises and examples from real-world companies help readers gain a better grasp of the material. MyAccountingLab is an online homework, tutorial, and assessment program designed to work with this text to engage students and improve results. Within its structured environment, students practice what they learn, test their understanding, and pursue a personalized study plan that helps them better absorb course material and understand difficult concepts. 

0134417364 / 9780134417363 Financial Accounting, Student Value Edition Plus MyAccountingLab with Pearson eText -- Access Card Package 11/e Package consists of: 0134065832 / 9780134065830 Financial Accounting, Student Value Edition 11/e 0134160576 / 9780134160573 MyAccountingLab with Pearson eText -- Access Card -- for Financial Accounting 11/e"
"Cosmic Perspective, The, Books a la Carte Edition (8th Edition)","8th Edition","9780134110318","134110315","Jeffrey O. Bennett, Megan O. Donahue, Nicholas Schneider, Mark Voit","NOTE: This edition features the same content as the traditional text in a convenient, three-hole-punched, loose-leaf version. Books a la Carte also offer a great value?this format costs significantly less than a new textbook. Before purchasing, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. Several versions of Pearson's MyLab & Mastering products exist for each title, including customized versions for individual schools, and registrations are not transferable. In addition, you may need a CourseID, provided by your instructor, to register for and use Pearson's MyLab & Mastering products."
"MANAGERIAL ACCOUNTING W/ACCESS","16th Edition","9781260220247","1260220249","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organisations - plan operations, control activities, and make decisions - and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison's Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor's manual, and study guide making them both of high quality and extremely consistent with the textbook."
"Connect 1-Semester Access Card for Managerial Accounting","15th Edition","9780077522858","77522850","Ray H Garrison, Eric Noreen, Peter C. Brewer Professor","McGraw-Hill Connect? is a subscription-based learning service accessible online through your personal computer or tablet. Choose this option if your instructor will require Connect to be used in the course. Your subscription to Connect includes the following:

? A digital version of the course textbook that saves you time while improving performance.
? Access to your instructor?s homework assignments, quizzes, syllabus, notes, reminders, and other important files for the course.
? Progress dashboards that quickly show how you are performing on your assignments and tips for improvement.
? The option to purchase (for a small fee) a print version of the book. This binder-ready, loose-leaf version includes free shipping.

Complete system requirements to use Connect can be found here: http://www.mheducation.com/highered/platforms/connect/training-support-students.html"
"INTERMEDIATE ACCOUNTING-ACCESS CARD","16th Edition","9781119170815","1119170818","Kieso","Kieso, Weygandt, and Warfield?s Intermediate Accounting, Sixteenth Edition continues to set the standard for students and professionals in the field. The 16th edition builds on this legacy through new, innovative student-focused learning. Kieso maintains the qualities for which the text is globally recognized, including its reputation for accuracy, comprehensiveness, accessibility, and quality problem material that best prepares students for success on the CPA exam and accounting careers. The 16th edition offers the most up-to-date coverage of US GAAP & IFRS in a format suited to the complex challenges of teaching intermediate accounting in these changing times."
"FINANC. MANGERIAL ACCT. W/CONNECT (LL)","7th Edition","9781307257991","1307257992","Wild",
"Loose Leaf Advanced Accounting with Connect Access Card","12th Edition","9781259184741","1259184749","Joe Ben Hoyle, Thomas Schaefer, Timothy Doupnik","The approach used by Hoyle, Schaefer, and Doupnik in the new edition allows students to think critically about accounting, just as they will do while preparing for the CPA exam and in their future careers. With this text, students gain a well-balanced appreciation of the Accounting profession. As Hoyle
   12e introduces them to the field's many aspects, it often focuses on past controversies and present resolutions. The text continues to show the development of financial reporting as a product of intense and considered debate that continues today and into the future. The writing style of the eleven previous editions has been highly praised. 

Students easily comprehend chapter concepts because of the conversational tone used throughout the book. The authors have made every effort to ensure that the writing style remains engaging, lively, and consistent which has made this text the market leading text in the Advanced Accounting market. The 12th edition includes an increased integration of IFRS as well as updated accounting standards."
"MANAGERIAL ACCT W/CONNECT >IC<","15th Edition","9781259405303","1259405303","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organizations?plan operations, control activities, and make decisions?and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison?s Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor?s manual, and study guide ? making them both of high quality and extremely consistent with the textbook."
"Working Papers, Chapters 1-17 for Warren/Reeve/Duchac's Accounting, 26th and Financial Accounting, 14th","26th Edition","9781305392373","130539237X","Carl Warren, Jim Reeve, Jonathan Duchac","You'll find the tools you need to help work through end-of-chapter assignments with these working papers. The preformatted files provide a starting point by giving you a basic structure for journal entries and problems."
"INTERMEDIATE ACCOUNTING W/CONNECT CODE"," Edition","9781260190632","1260190633","SPICELAND",
"FINANCIAL ACCOUNTING UDEL W/ACCESS >IB","8th Edition","9781119268444","1119268443","Kimmel","Don?t you love those moments in your course when students are fully engaged? When the ?Aha!?revelations are bursting like fireworks? David Spiceland, Wayne Thomas, and Don Herrmann have developed a unique set of materials based directly on their collective years in the classroom. They?ve brought together best practices like highlighting Common Mistakes, offering frequent Let?s Review exercises, integrating the course with a running Continuing Problem, demonstrating the relevance of the course with real-world companies and decision analysis, and communicating it all in a student-friendly conversational writing style. After the proven success of the first three editions of Financial Accounting, we are confident that the fourth edition will not only motivate,engage, and challenge students?it will illuminate the financial accounting course like never before. There is no access code."
"Using & Understanding Mathematics: A Quantitative Reasoning Approach, Books A La Carte Edition Plus MyLab Math with Integrated Review -- Access Card Package (7th Edition)","7th Edition","9780135256183","135256186","Jeffrey O. Bennett, William L. Briggs","This loose-leaf, three-hole punched version of the textbook gives you the flexibility to take only what you need to class and add your own notes -- all at an affordable price. For loose-leaf editions that include MyLab(TM) or Mastering(TM), several versions may exist for each title and registrations are not transferable. You may need a Course ID, provided by your instructor, to register for and use MyLab or Mastering products. For courses in Liberal Arts Mathematics and Quantitative Literacy. This package includes MyLab Math.  The standard in quantitative reasoning instruction - by authorities in the field The 7th Edition of Using & Understanding Mathematics by Jeff Bennett and Bill Briggs aims to prepare students for the mathematics they will encounter in other college courses, future careers, and life. The authors' goal is to develop students' ability to reason with quantitative information in a way that will help achieve success in their careers, and to give students the critical-thinking and quantitative reasoning skills needed to understand major life issues. Through new resources in MyLab(TM) Math and updated content within the text, the Bennett/Briggs team continues to set the standard in quantitative reasoning instruction. Personalize learning with MyLab Math By combining trusted author content with digital tools and a flexible platform, MyLab Math personalizes the learning experience and often improves results for each student. 0135256186 / 9780135256183 Using & Understanding Mathematics: A Quantitative Reasoning Approach, Books a la Carte Edition Plus MyMathLab with Integrated Review -- Access Card Package, 7/e Package consists of: 0134716019 / 9780134716015 Using & Understanding Mathematics: A Quantitative Reasoning Approach, Books a la Carte Edition 0134715861 / 9780134715865 MyLab Math with Pearson eText - Access Card - for Using & Understanding Mathematics: A Quantitative Reasoning Approach with Integrated Review."
"Financial Accounting 7E SC for UNC Charlotte with WileyPLUS Card Set","7th Edition","9781118964590","1118964594","Paul D. Kimmel, Jerry J. Weygandt, Donald E. Kieso",
"INTERMEDIATE ACCOUNTING","8th Edition","9780078025839","78025834","J. David Spiceland","With the CourseSmart eTextbook version of this title, students can save up to 50% off the cost of a print book, reduce their impact on the environment, and access powerful web tools for learning. Faculty can also review and compare the full text online without having to wait for a print desk copy. CourseSmart is an online eTextbook, which means users need to be connected to the internet in order to access. Students can also print sections of the book for maximum portability."
"FINANCIAL ACCOUNTING <C>"," Edition","9781119352341","1119352347","Kimmel","These are the Working Papers to accompany Financial Accounting, 8th Edition. Financial Accounting, 8th Edition, by Weygandt, Kimmel, Kieso provides students with a clear introduction to financial accounting that is full of real world and relevant examples to students lives."
"ADVANCED ACCOUNTING(LL) W/CONNECT","13th Edition","9781260282382","1260282384","Hoyle",
"INTER ACCT(LL)W/CONNECT+11 WK ALEKS"," Edition","9781260302882","1260302881","SPICELAND",
"FUNDAMENTAL ACCT.PRIN. >CUSTOM<","17th Edition","9781308339894","1308339895","Wild","With 55 years of success in the principles of accounting market, Fundamental Accounting Principles, 21e by Wild, Shaw and Chiappetta has endured and adapted to changes in accounting, technology, and student learning styles. Its innovation is reflected in its extensive use of small business examples, the integration of new technology learning tools, superior end-of-chapter material, and a highly engaging, pedagogical design."
"WILD'S FUNDAMENTAL ACCOUNTING PRINCIPLE","23rd Edition","9781260517903","126051790X","Wild",
"FUND.OF FINAN.MGMT.:CONC.-APLIA ACCESS","9th Edition","9781305636026","1305636023","Brigham",
"Mathematical Ideas: Custom Edition for Washington State University","16th Edition","9781323160558","1323160558","Heeren,  Hornsby,  Heeren,  Morrow,  Newenhizen Miller","WSUE math 105"
"Horngren's Accounting, Student Value Edition Plus MyLab Accounting with Pearson eText -- Access Card Package (12th Edition)","12th Edition","9780134642932","134642937","Tracie L. Miller-Nobles, Brenda L. Mattison, Ella Mae Matsumura","Horngren?s Accounting presents the core content of principles of accounting in a fresh format designed to help today?s learners succeed. As teachers first, the author team knows the importance of delivering a reader experience free of obstacles. Their pedagogy and content uses leading methods in teaching critical foundational topics and concentrates on improving reader results--all tested in class by the authors themselves. With this in mind, the 12th Edition continues to focus on readability and comprehension and takes this a step further in the managerial chapters by employing a new theme to help readers see how managerial accounting is used as a tool to help all business people make decisions. By providing more meaningful learning tools, this title helps readers clear hurdles, like never before.

 

Personalize learning with MyLab Accounting

MyLab? Accounting is an online homework, tutorial, and assessment program designed to work with this text to engage students and improve results. Within its structured environment, students practice what they learn, test their understanding, and pursue a personalized study plan that helps them better absorb course material and understand difficult concepts."
"MANAGERIAL ACCOUNTING W/ACCESS >IP<"," Edition","9781259753961","1259753964","Garrison","As the long-time #1 best-seller, Garrison has helped guide close to 3 million students through managerial accounting since it was first published. It identifies the three functions managers must perform within their organizations?plan operations, control activities, and make decisions?and explains what accounting information is necessary for these functions, how to collect it, and how to interpret it. Garrison?s Managerial Accounting is known for its relevance, accuracy, and clarity. It is also unique in that the authors write the most important supplements that accompany the book: solutions manual, test bank, instructor?s manual, and study guide ? making them both of high quality and extremely consistent with the textbook."
"INTMED.ACCT LOOSE W/CONNECT ACCESS","9th Edition","9781260240504","1260240509","SPICELAND",
"INTERMEDIATE ACCOUNTING (LL)-W/CONNECT+","9th Edition","9781260233100","1260233103","SPICELAND",
"Loose-leaf for Fundamentals of Financial Accounting with Connect","5th Edition","9781259619007","1259619001","Fred Phillips Associate Professor",
"Organizational Behavior Plus MyLab Management with Pearson eText - Access Card Package (18th Edition)","18th Edition","9780134889313","134889312","Robbins","NOTE: Before purchasing, check with your instructor to ensure you select the correct ISBN. Several versions of the MyLab(TM)and Mastering(TM) platforms exist for each title, and registrations are not transferable. To register for and use MyLab or Mastering, you may also need a Course ID, which your instructor will provide. Used books, rentals, and purchases made outside of Pearson If purchasing or renting from companies other than Pearson, the access codes for the MyLab platform may not be included, may be incorrect, or may be previously redeemed. Check with the seller before completing your purchase. 

For undergraduate and graduate courses in organizational behavior. This package includes MyLab Management. Help students apply OB concepts The world's most successful Organizational Behavior textbook provides the research you want, in the language your students understand. This text makes current, relevant research come alive for readers. The 18th Edition reflects the most recent research and business events within the field of organizational behavior, while maintaining its hallmark features -- a clear writing style, cutting-edge content, and intuitive pedagogy. 

There's a reason why Robbins's textbooks have educated millions of students and have been translated into 20 languages -- and it's because of a commitment to provide engaging, cutting-edge material that helps students understand and connect with organizational behavior. Personalize learning with MyLab Management By combining trusted authors' content with digital tools and a flexible platform, MyLab personalizes the learning experience and improves results for each student. 0134889312 / 9780134889313 Organizational Behavior Plus MyLab Management with Pearson eText -- Access Card Package Package consists of: 134729323 / 9780134729329 Organizational Behavior 0134731433 / 9780134731438 MyLab Management with Pearson eText -- Access Card -- for Organizational Behavior"
